district_id,neighborhood_canon,n_venues,n_cuisine_types
11001001,gesundbrunnen,149,15
11001001,hansaviertel,11,5
11001001,mitte,950,25
11001001,moabit,233,22
11001001,tiergarten,119,10
11001001,wedding,217,13
11002002,friedrichshain,531,26
11002002,kreuzberg,748,33
11003003,blankenburg,3,1
11003003,blankenfelde,4,0
11003003,buch,9,5
11003003,franzoesischbuchholz,6,3
11003003,heinersdorf,7,3
11003003,karow,7,4
11003003,niederschoenhausen,24,6
11003003,pankow,65,8
11003003,prenzlauerberg,667,28
11003003,rosenthal,8,3
11003003,stadtrandsiedlungmalchow,1,0
11003003,weissensee,72,13
11003003,wilhelmsruh,7,2
11004004,charlottenburg,782,27
11004004,charlottenburgnord,9,4
11004004,grunewald,18,2
11004004,halensee,44,9
11004004,schmargendorf,33,5
11004004,westend,73,10
11004004,wilmersdorf,261,21
11005005,falkenhagenerfeld,11,2
11005005,gatow,12,2
11005005,hakenfelde,22,3
11005005,haselhorst,11,2
11005005,kladow,19,4
11005005,siemensstadt,20,4
11005005,spandau,67,10
11005005,staaken,17,7
11005005,wilhelmstadt,43,6
11006006,dahlem,42,6
11006006,lankwitz,27,5
11006006,lichterfelde,92,9
11006006,nikolassee,16,8
11006006,schlachtensee,16,5
11006006,steglitz,142,10
11006006,wannsee,29,5
11006006,zehlendorf,61,11
11007007,friedenau,88,12
11007007,lichtenrade,38,7
11007007,mariendorf,49,10
11007007,marienfelde,20,6
11007007,schoeneberg,438,26
11007007,tempelhof,70,10
11008008,britz,45,6
11008008,buckow,32,8
11008008,gropiusstadt,12,3
11008008,neukoelln,521,28
11008008,rudow,33,7
11009009,adlershof,47,6
11009009,altglienicke,15,6
11009009,alttreptow,31,8
11009009,baumschulenweg,15,5
11009009,bohnsdorf,7,3
11009009,friedrichshagen,41,9
11009009,gruenau,12,2
11009009,johannisthal,15,5
11009009,koepenick,70,9
11009009,mueggelheim,7,2
11009009,niederschoeneweide,25,4
11009009,oberschoeneweide,38,6
11009009,plaenterwald,9,2
11009009,rahnsdorf,11,2
11009009,schmoeckwitz,11,4
11010010,biesdorf,20,5
11010010,hellersdorf,32,5
11010010,kaulsdorf,13,3
11010010,mahlsdorf,18,5
11010010,marzahn,57,8
11011011,althohenschoenhausen,32,5
11011011,falkenberg,1,0
11011011,fennpfuhl,23,5
11011011,friedrichsfelde,30,2
11011011,karlshorst,24,6
11011011,lichtenberg,50,5
11011011,malchow,2,0
11011011,neuhohenschoenhausen,11,4
11011011,rummelsburg,43,6
11011011,wartenberg,2,2
11012012,borsigwalde,6,4
11012012,frohnau,14,2
11012012,heiligensee,17,2
11012012,hermsdorf,22,6
11012012,konradshoehe,5,2
11012012,luebars,4,1
11012012,maerkischesviertel,15,2
11012012,reinickendorf,87,7
11012012,tegel,64,11
11012012,waidmannslust,14,5
11012012,wittenau,24,5
